,origin,period,destin,trade_value_usd,period_date
36,Norway,201608,Finland,3915,2016-08-01
37,Poland,201608,Finland,10358,2016-08-01
38,Spain,201608,Finland,34379,2016-08-01
39,Turkey,201608,Finland,10638,2016-08-01
41,Estonia,201408,Finland,373,2014-08-01
42,Netherlands,201408,Finland,191074,2014-08-01
43,Spain,201408,Finland,27351,2014-08-01
44,Suriname,201408,Finland,85,2014-08-01
45,Turkey,201408,Finland,1294,2014-08-01
46,Germany,201408,Finland,521684,2014-08-01
47,Sweden,201408,Finland,42361,2014-08-01
49,Dominican Rep.,201504,Finland,137,2015-04-01
50,Estonia,201504,Finland,1821,2015-04-01
51,Germany,201504,Finland,16235,2015-04-01
52,Netherlands,201504,Finland,267367,2015-04-01
53,Norway,201504,Finland,27235,2015-04-01
54,Panama,201504,Finland,30800,2015-04-01
55,Spain,201504,Finland,162811,2015-04-01
57,Dominican Rep.,201510,Finland,218,2015-10-01
58,Estonia,201510,Finland,55804,2015-10-01
59,Germany,201510,Finland,36327,2015-10-01
60,Netherlands,201510,Finland,262680,2015-10-01
61,Norway,201510,Finland,52021,2015-10-01
62,Spain,201510,Finland,479213,2015-10-01
63,Turkey,201510,Finland,9600,2015-10-01
65,Dominican Rep.,201502,Finland,95,2015-02-01
66,Estonia,201502,Finland,236,2015-02-01
67,France,201502,Finland,1777,2015-02-01
68,Germany,201502,Finland,261721,2015-02-01
69,Netherlands,201502,Finland,484268,2015-02-01
70,Norway,201502,Finland,4955,2015-02-01
71,Spain,201502,Finland,964926,2015-02-01
73,Netherlands,201406,Finland,346881,2014-06-01
74,Spain,201406,Finland,5683,2014-06-01
75,Sweden,201406,Finland,12400,2014-06-01
76,Turkey,201406,Finland,1321,2014-06-01
77,Belgium,201406,Finland,7762,2014-06-01
78,Estonia,201406,Finland,427,2014-06-01
83,Belgium,201610,Finland,492,2016-10-01
84,Dominican Rep.,201610,Finland,537,2016-10-01
85,Germany,201610,Finland,29600,2016-10-01
86,Netherlands,201610,Finland,302614,2016-10-01
87,Spain,201610,Finland,262952,2016-10-01
88,Turkey,201610,Finland,11603,2016-10-01
89,Estonia,201401,Finland,5004,2014-01-01
90,Germany,201401,Finland,336665,2014-01-01
91,Thailand,201401,Finland,33,2014-01-01
93,Netherlands,201401,Finland,311488,2014-01-01
94,Spain,201401,Finland,1813015,2014-01-01
96,Dominican Rep.,201509,Finland,104,2015-09-01
97,Estonia,201509,Finland,291,2015-09-01
98,Germany,201509,Finland,665475,2015-09-01
99,Netherlands,201509,Finland,126474,2015-09-01
100,Norway,201509,Finland,43203,2015-09-01
101,Poland,201509,Finland,831,2015-09-01
102,Spain,201509,Finland,18625,2015-09-01
103,Sweden,201509,Finland,55824,2015-09-01
104,Turkey,201509,Finland,8085,2015-09-01
106,Dominican Rep.,201409,Finland,356,2014-09-01
107,Estonia,201409,Finland,361,2014-09-01
108,Germany,201409,Finland,338139,2014-09-01
109,Netherlands,201409,Finland,270840,2014-09-01
110,Spain,201409,Finland,57538,2014-09-01
111,Sweden,201409,Finland,195509,2014-09-01
115,Dominican Rep.,201606,Finland,377,2016-06-01
116,Estonia,201606,Finland,2405,2016-06-01
117,Germany,201606,Finland,26670,2016-06-01
118,Netherlands,201606,Finland,133923,2016-06-01
119,Norway,201606,Finland,23973,2016-06-01
120,Spain,201606,Finland,10093,2016-06-01
121,Sweden,201606,Finland,20844,2016-06-01
122,Turkey,201606,Finland,11816,2016-06-01
124,Dominican Rep.,201507,Finland,321,2015-07-01
125,Estonia,201507,Finland,423,2015-07-01
126,Germany,201507,Finland,561765,2015-07-01
127,Netherlands,201507,Finland,37393,2015-07-01
128,Norway,201507,Finland,42330,2015-07-01
129,Turkey,201507,Finland,12644,2015-07-01
131,Belgium,201602,Finland,8245,2016-02-01
132,Dominican Rep.,201602,Finland,47,2016-02-01
133,Estonia,201602,Finland,2252,2016-02-01
134,Netherlands,201602,Finland,304715,2016-02-01
135,Norway,201602,Finland,25614,2016-02-01
136,Spain,201602,Finland,908608,2016-02-01
137,Turkey,201602,Finland,10805,2016-02-01
141,Dominican Rep.,201508,Finland,321,2015-08-01
142,Estonia,201508,Finland,277,2015-08-01
143,Germany,201508,Finland,597924,2015-08-01
144,Netherlands,201508,Finland,82542,2015-08-01
145,Norway,201508,Finland,43357,2015-08-01
146,Spain,201508,Finland,16890,2015-08-01
147,Sweden,201508,Finland,83945,2015-08-01
148,Turkey,201508,Finland,11229,2015-08-01
150,Dominican Rep.,201506,Finland,142,2015-06-01
151,Germany,201506,Finland,48681,2015-06-01
152,Netherlands,201506,Finland,194833,2015-06-01
153,Norway,201506,Finland,41212,2015-06-01
154,Spain,201506,Finland,3618,2015-06-01
155,Turkey,201506,Finland,12639,2015-06-01
159,Estonia,201402,Finland,6870,2014-02-01
160,Germany,201402,Finland,422496,2014-02-01
161,Israel,201402,Finland,3761,2014-02-01
162,Netherlands,201402,Finland,460957,2014-02-01
163,Spain,201402,Finland,1769182,2014-02-01
165,Bangladesh,201605,Finland,51,2016-05-01
166,Dominican Rep.,201605,Finland,111,2016-05-01
167,Estonia,201605,Finland,2467,2016-05-01
168,Netherlands,201605,Finland,408476,2016-05-01
169,Norway,201605,Finland,16163,2016-05-01
170,Spain,201605,Finland,42102,2016-05-01
171,Turkey,201605,Finland,11903,2016-05-01
173,Dominican Rep.,201607,Finland,454,2016-07-01
174,Germany,201607,Finland,276952,2016-07-01
175,Netherlands,201607,Finland,113484,2016-07-01
176,Norway,201607,Finland,27276,2016-07-01
177,Turkey,201607,Finland,3610,2016-07-01
181,Estonia,201612,Finland,1724,2016-12-01
182,Netherlands,201612,Finland,261801,2016-12-01
183,Sweden,201612,Finland,6559,2016-12-01
184,Dominican Rep.,201612,Finland,148,2016-12-01
185,Spain,201612,Finland,832053,2016-12-01
187,Dominican Rep.,201501,Finland,49,2015-01-01
188,Estonia,201501,Finland,14724,2015-01-01
189,Germany,201501,Finland,209861,2015-01-01
190,Netherlands,201501,Finland,483306,2015-01-01
191,Spain,201501,Finland,862633,2015-01-01
192,Turkey,201501,Finland,1206,2015-01-01
194,Dominican Rep.,201505,Finland,283,2015-05-01
195,Estonia,201505,Finland,1615,2015-05-01
196,Netherlands,201505,Finland,225504,2015-05-01
197,Norway,201505,Finland,34068,2015-05-01
198,Spain,201505,Finland,8769,2015-05-01
200,Dominican Rep.,201410,Finland,322,2014-10-01
201,Estonia,201410,Finland,4660,2014-10-01
202,Germany,201410,Finland,107263,2014-10-01
203,Netherlands,201410,Finland,497793,2014-10-01
204,Spain,201410,Finland,477934,2014-10-01
205,Sweden,201410,Finland,6157,2014-10-01
206,Turkey,201410,Finland,1402,2014-10-01
208,Estonia,201407,Finland,425,2014-07-01
209,Germany,201407,Finland,391694,2014-07-01
210,Netherlands,201407,Finland,83666,2014-07-01
211,Sweden,201407,Finland,8737,2014-07-01
215,Dominican Rep.,201611,Finland,303,2016-11-01
216,Netherlands,201611,Finland,277125,2016-11-01
217,Spain,201611,Finland,793592,2016-11-01
218,Turkey,201611,Finland,7026,2016-11-01
220,Bangladesh,201601,Finland,33,2016-01-01
221,Belgium,201601,Finland,7657,2016-01-01
222,Dominican Rep.,201601,Finland,46,2016-01-01
223,Netherlands,201601,Finland,228307,2016-01-01
224,Norway,201601,Finland,46090,2016-01-01
225,Spain,201601,Finland,805630,2016-01-01
226,Turkey,201601,Finland,5397,2016-01-01
228,Dominican Rep.,201411,Finland,319,2014-11-01
229,Germany,201411,Finland,196451,2014-11-01
230,Netherlands,201411,Finland,281088,2014-11-01
231,Spain,201411,Finland,825145,2014-11-01
232,Turkey,201411,Finland,1295,2014-11-01
234,Belgium,201511,Finland,6925,2015-11-01
235,Dominican Rep.,201511,Finland,104,2015-11-01
236,Estonia,201511,Finland,265,2015-11-01
237,Netherlands,201511,Finland,313287,2015-11-01
238,Norway,201511,Finland,32623,2015-11-01
239,Spain,201511,Finland,870357,2015-11-01
240,Turkey,201511,Finland,9119,2015-11-01
244,Belgium,201503,Finland,1756,2015-03-01
245,Estonia,201503,Finland,1634,2015-03-01
246,Germany,201503,Finland,215781,2015-03-01
247,Netherlands,201503,Finland,629262,2015-03-01
248,Norway,201503,Finland,23473,2015-03-01
249,Spain,201503,Finland,494123,2015-03-01
250,Turkey,201503,Finland,6116,2015-03-01
252,Dominican Rep.,201609,Finland,108,2016-09-01
253,Estonia,201609,Finland,54659,2016-09-01
254,Germany,201609,Finland,663175,2016-09-01
255,Netherlands,201609,Finland,209318,2016-09-01
256,Poland,201609,Finland,5853,2016-09-01
257,Spain,201609,Finland,9726,2016-09-01
258,Turkey,201609,Finland,11798,2016-09-01
259,Germany,201412,Finland,130742,2014-12-01
261,Dominican Rep.,201412,Finland,158,2014-12-01
262,Estonia,201412,Finland,1359,2014-12-01
263,Netherlands,201412,Finland,168946,2014-12-01
264,Spain,201412,Finland,611283,2014-12-01
265,Turkey,201412,Finland,1280,2014-12-01
267,Dominican Rep.,201512,Finland,211,2015-12-01
268,Netherlands,201512,Finland,148908,2015-12-01
269,Norway,201512,Finland,33563,2015-12-01
270,Spain,201512,Finland,692535,2015-12-01
271,Turkey,201512,Finland,10519,2015-12-01
272,Belgium,201512,Finland,6510,2015-12-01
273,Estonia,201512,Finland,165,2015-12-01
274,Germany,201512,Finland,361,2015-12-01
8,Estonia,201404,Lithuania,22492,2014-04-01
9,Latvia,201404,Lithuania,49605,2014-04-01
10,Netherlands,201404,Lithuania,1265770,2014-04-01
11,Poland,201404,Lithuania,50812,2014-04-01
12,Spain,201404,Lithuania,351360,2014-04-01
13,United Kingdom,201404,Lithuania,19291,2014-04-01
15,Estonia,201604,Lithuania,43854,2016-04-01
16,Germany,201604,Lithuania,9149,2016-04-01
17,Italy,201604,Lithuania,543,2016-04-01
18,Latvia,201604,Lithuania,60159,2016-04-01
19,Netherlands,201604,Lithuania,313711,2016-04-01
20,Poland,201604,Lithuania,450352,2016-04-01
21,Spain,201604,Lithuania,119683,2016-04-01
22,Turkey,201604,Lithuania,100918,2016-04-01
47,Czechia,201403,Lithuania,2495,2014-03-01
48,Estonia,201403,Lithuania,18537,2014-03-01
49,France,201403,Lithuania,27700,2014-03-01
50,Germany,201403,Lithuania,21132,2014-03-01
51,Latvia,201403,Lithuania,87899,2014-03-01
52,Morocco,201403,Lithuania,3519,2014-03-01
53,Netherlands,201403,Lithuania,1785484,2014-03-01
54,Poland,201403,Lithuania,76608,2014-03-01
55,Spain,201403,Lithuania,1414274,2014-03-01
56,United Kingdom,201403,Lithuania,39962,2014-03-01
58,Estonia,201405,Lithuania,35356,2014-05-01
59,Latvia,201405,Lithuania,24297,2014-05-01
60,Netherlands,201405,Lithuania,492001,2014-05-01
61,Poland,201405,Lithuania,324032,2014-05-01
62,Romania,201405,Lithuania,14009,2014-05-01
63,Spain,201405,Lithuania,70877,2014-05-01
64,United Kingdom,201405,Lithuania,3692,2014-05-01
74,Estonia,201408,Lithuania,23368,2014-08-01
75,Latvia,201408,Lithuania,12848,2014-08-01
76,Netherlands,201408,Lithuania,34754,2014-08-01
77,Poland,201408,Lithuania,130353,2014-08-01
84,Estonia,201504,Lithuania,63057,2015-04-01
85,Germany,201504,Lithuania,3531,2015-04-01
86,Latvia,201504,Lithuania,44641,2015-04-01
87,Netherlands,201504,Lithuania,209843,2015-04-01
88,Poland,201504,Lithuania,357890,2015-04-01
89,Portugal,201504,Lithuania,565,2015-04-01
90,Spain,201504,Lithuania,218530,2015-04-01
91,Ukraine,201504,Lithuania,22445,2015-04-01
100,Netherlands,201510,Lithuania,68074,2015-10-01
101,Portugal,201510,Lithuania,80,2015-10-01
102,Spain,201510,Lithuania,495269,2015-10-01
103,Estonia,201510,Lithuania,5060,2015-10-01
104,Latvia,201510,Lithuania,44362,2015-10-01
105,Poland,201510,Lithuania,83403,2015-10-01
107,Estonia,201406,Lithuania,30014,2014-06-01
108,Germany,201406,Lithuania,190,2014-06-01
109,Latvia,201406,Lithuania,7809,2014-06-01
110,Netherlands,201406,Lithuania,173974,2014-06-01
111,Poland,201406,Lithuania,228647,2014-06-01
112,Spain,201406,Lithuania,29363,2014-06-01
134,Czechia,201502,Lithuania,13436,2015-02-01
135,Estonia,201502,Lithuania,12833,2015-02-01
136,France,201502,Lithuania,9757,2015-02-01
137,Latvia,201502,Lithuania,107337,2015-02-01
138,Netherlands,201502,Lithuania,286047,2015-02-01
139,Ukraine,201502,Lithuania,26975,2015-02-01
140,Greece,201502,Lithuania,49627,2015-02-01
141,Poland,201502,Lithuania,31598,2015-02-01
142,Spain,201502,Lithuania,1014919,2015-02-01
144,Bulgaria,201603,Lithuania,7650,2016-03-01
145,Czechia,201603,Lithuania,3566,2016-03-01
146,Estonia,201603,Lithuania,52455,2016-03-01
147,Greece,201603,Lithuania,64034,2016-03-01
148,Latvia,201603,Lithuania,61840,2016-03-01
149,Netherlands,201603,Lithuania,161947,2016-03-01
150,Poland,201603,Lithuania,428077,2016-03-01
151,Spain,201603,Lithuania,406589,2016-03-01
152,Turkey,201603,Lithuania,183700,2016-03-01
154,Estonia,201610,Lithuania,58684,2016-10-01
155,Germany,201610,Lithuania,59732,2016-10-01
156,Latvia,201610,Lithuania,16559,2016-10-01
157,Netherlands,201610,Lithuania,68831,2016-10-01
158,Poland,201610,Lithuania,111179,2016-10-01
159,Spain,201610,Lithuania,360981,2016-10-01
160,Turkey,201610,Lithuania,17454,2016-10-01
177,Estonia,201401,Lithuania,63898,2014-01-01
178,France,201401,Lithuania,68882,2014-01-01
179,Germany,201401,Lithuania,24,2014-01-01
180,Italy,201401,Lithuania,23566,2014-01-01
181,Latvia,201401,Lithuania,92012,2014-01-01
182,Netherlands,201401,Lithuania,3030595,2014-01-01
183,Poland,201401,Lithuania,74061,2014-01-01
184,Spain,201401,Lithuania,1600017,2014-01-01
185,United Kingdom,201401,Lithuania,58723,2014-01-01
193,Estonia,201409,Lithuania,38819,2014-09-01
194,Germany,201409,Lithuania,2685,2014-09-01
195,Latvia,201409,Lithuania,38483,2014-09-01
196,Netherlands,201409,Lithuania,10135,2014-09-01
197,Poland,201409,Lithuania,199612,2014-09-01
198,Spain,201409,Lithuania,6495,2014-09-01
200,Estonia,201507,Lithuania,4348,2015-07-01
201,Latvia,201507,Lithuania,6036,2015-07-01
202,Netherlands,201507,Lithuania,12370,2015-07-01
203,Poland,201507,Lithuania,509945,2015-07-01
204,Portugal,201507,Lithuania,152,2015-07-01
205,Ukraine,201507,Lithuania,3851,2015-07-01
219,Estonia,201509,Lithuania,55870,2015-09-01
220,Latvia,201509,Lithuania,53663,2015-09-01
221,Netherlands,201509,Lithuania,8486,2015-09-01
222,Poland,201509,Lithuania,113108,2015-09-01
223,Spain,201509,Lithuania,5220,2015-09-01
231,Bulgaria,201602,Lithuania,1422,2016-02-01
232,Czechia,201602,Lithuania,5272,2016-02-01
233,Estonia,201602,Lithuania,21387,2016-02-01
234,Greece,201602,Lithuania,46003,2016-02-01
235,Italy,201602,Lithuania,13386,2016-02-01
236,Latvia,201602,Lithuania,69174,2016-02-01
237,Netherlands,201602,Lithuania,146053,2016-02-01
238,Poland,201602,Lithuania,119481,2016-02-01
239,Spain,201602,Lithuania,633279,2016-02-01
240,Turkey,201602,Lithuania,161865,2016-02-01
242,Estonia,201508,Lithuania,3774,2015-08-01
243,Germany,201508,Lithuania,13104,2015-08-01
244,Latvia,201508,Lithuania,18601,2015-08-01
245,Netherlands,201508,Lithuania,5330,2015-08-01
246,Poland,201508,Lithuania,336228,2015-08-01
253,Estonia,201506,Lithuania,3643,2015-06-01
254,Latvia,201506,Lithuania,19518,2015-06-01
255,Netherlands,201506,Lithuania,26269,2015-06-01
256,Poland,201506,Lithuania,230194,2015-06-01
257,Portugal,201506,Lithuania,410,2015-06-01
258,Spain,201506,Lithuania,44019,2015-06-01
265,Czechia,201402,Lithuania,1525,2014-02-01
266,Estonia,201402,Lithuania,30464,2014-02-01
267,France,201402,Lithuania,125403,2014-02-01
268,Germany,201402,Lithuania,13919,2014-02-01
269,Greece,201402,Lithuania,40625,2014-02-01
270,Italy,201402,Lithuania,2482,2014-02-01
271,Latvia,201402,Lithuania,103731,2014-02-01
272,Netherlands,201402,Lithuania,2430117,2014-02-01
273,Poland,201402,Lithuania,131307,2014-02-01
274,Spain,201402,Lithuania,1640621,2014-02-01
275,United Kingdom,201402,Lithuania,59891,2014-02-01
285,Estonia,201605,Lithuania,75465,2016-05-01
286,Italy,201605,Lithuania,816,2016-05-01
287,Latvia,201605,Lithuania,54334,2016-05-01
288,Netherlands,201605,Lithuania,121517,2016-05-01
289,Poland,201605,Lithuania,541259,2016-05-01
290,Spain,201605,Lithuania,37845,2016-05-01
301,Estonia,201607,Lithuania,5215,2016-07-01
302,Germany,201607,Lithuania,4798,2016-07-01
303,Latvia,201607,Lithuania,11157,2016-07-01
304,Netherlands,201607,Lithuania,6859,2016-07-01
305,Poland,201607,Lithuania,356352,2016-07-01
306,Spain,201607,Lithuania,60040,2016-07-01
325,Estonia,201608,Lithuania,6671,2016-08-01
326,Germany,201608,Lithuania,5487,2016-08-01
327,Latvia,201608,Lithuania,7899,2016-08-01
328,Netherlands,201608,Lithuania,2976,2016-08-01
329,Poland,201608,Lithuania,155279,2016-08-01
331,Belgium,201612,Lithuania,97008,2016-12-01
332,Bulgaria,201612,Lithuania,32073,2016-12-01
333,Estonia,201612,Lithuania,7302,2016-12-01
334,Germany,201612,Lithuania,88533,2016-12-01
335,Greece,201612,Lithuania,52200,2016-12-01
336,Latvia,201612,Lithuania,131972,2016-12-01
337,Netherlands,201612,Lithuania,184730,2016-12-01
338,Poland,201612,Lithuania,590072,2016-12-01
339,Portugal,201612,Lithuania,8240,2016-12-01
340,Spain,201612,Lithuania,770364,2016-12-01
341,Turkey,201612,Lithuania,189621,2016-12-01
349,Estonia,201606,Lithuania,11623,2016-06-01
350,Latvia,201606,Lithuania,24248,2016-06-01
351,Netherlands,201606,Lithuania,8454,2016-06-01
352,Poland,201606,Lithuania,409963,2016-06-01
353,Spain,201606,Lithuania,28257,2016-06-01
368,Latvia,201410,Lithuania,56197,2014-10-01
369,Netherlands,201410,Lithuania,131488,2014-10-01
370,Poland,201410,Lithuania,157465,2014-10-01
371,Portugal,201410,Lithuania,2778,2014-10-01
372,Spain,201410,Lithuania,469062,2014-10-01
373,Estonia,201410,Lithuania,35081,2014-10-01
374,France,201410,Lithuania,4737,2014-10-01
375,Germany,201410,Lithuania,60440,2014-10-01
377,Estonia,201505,Lithuania,13978,2015-05-01
378,Latvia,201505,Lithuania,24598,2015-05-01
379,Netherlands,201505,Lithuania,173779,2015-05-01
380,Poland,201505,Lithuania,424908,2015-05-01
381,Portugal,201505,Lithuania,952,2015-05-01
382,Spain,201505,Lithuania,78306,2015-05-01
391,Estonia,201407,Lithuania,12149,2014-07-01
392,Latvia,201407,Lithuania,15971,2014-07-01
393,Netherlands,201407,Lithuania,133727,2014-07-01
394,Poland,201407,Lithuania,461455,2014-07-01
403,Bulgaria,201501,Lithuania,2690,2015-01-01
404,Czechia,201501,Lithuania,53164,2015-01-01
405,Estonia,201501,Lithuania,45671,2015-01-01
406,France,201501,Lithuania,17254,2015-01-01
407,Greece,201501,Lithuania,18296,2015-01-01
408,Latvia,201501,Lithuania,72198,2015-01-01
409,Netherlands,201501,Lithuania,427867,2015-01-01
410,Poland,201501,Lithuania,125032,2015-01-01
411,Portugal,201501,Lithuania,21607,2015-01-01
412,Spain,201501,Lithuania,1074297,2015-01-01
413,United Kingdom,201501,Lithuania,2644,2015-01-01
415,Estonia,201611,Lithuania,7004,2016-11-01
416,France,201611,Lithuania,1012,2016-11-01
417,Germany,201611,Lithuania,74531,2016-11-01
418,Latvia,201611,Lithuania,71196,2016-11-01
419,Netherlands,201611,Lithuania,66717,2016-11-01
420,Poland,201611,Lithuania,38184,2016-11-01
421,Portugal,201611,Lithuania,180,2016-11-01
422,Spain,201611,Lithuania,539408,2016-11-01
423,Turkey,201611,Lithuania,157698,2016-11-01
430,Czechia,201601,Lithuania,31091,2016-01-01
431,Estonia,201601,Lithuania,66350,2016-01-01
432,Greece,201601,Lithuania,56294,2016-01-01
433,Italy,201601,Lithuania,17295,2016-01-01
434,Latvia,201601,Lithuania,41177,2016-01-01
435,Netherlands,201601,Lithuania,96591,2016-01-01
436,Poland,201601,Lithuania,25997,2016-01-01
437,Portugal,201601,Lithuania,2664,2016-01-01
438,Spain,201601,Lithuania,681944,2016-01-01
439,Turkey,201601,Lithuania,100934,2016-01-01
452,Czechia,201411,Lithuania,51205,2014-11-01
453,Estonia,201411,Lithuania,28394,2014-11-01
454,France,201411,Lithuania,56602,2014-11-01
455,Greece,201411,Lithuania,17198,2014-11-01
456,Latvia,201411,Lithuania,83031,2014-11-01
457,Netherlands,201411,Lithuania,270922,2014-11-01
458,Poland,201411,Lithuania,69220,2014-11-01
459,Portugal,201411,Lithuania,18869,2014-11-01
460,Spain,201411,Lithuania,1221133,2014-11-01
461,Turkey,201411,Lithuania,15141,2014-11-01
462,United Kingdom,201411,Lithuania,5018,2014-11-01
464,Estonia,201511,Lithuania,4073,2015-11-01
465,France,201511,Lithuania,3001,2015-11-01
466,Germany,201511,Lithuania,5,2015-11-01
467,Netherlands,201511,Lithuania,258455,2015-11-01
468,Spain,201511,Lithuania,762926,2015-11-01
469,United Kingdom,201511,Lithuania,417,2015-11-01
470,Latvia,201511,Lithuania,66283,2015-11-01
471,Poland,201511,Lithuania,33125,2015-11-01
472,Portugal,201511,Lithuania,339,2015-11-01
480,Belarus,201512,Lithuania,269,2015-12-01
481,Estonia,201512,Lithuania,6753,2015-12-01
482,France,201512,Lithuania,1835,2015-12-01
483,Greece,201512,Lithuania,136705,2015-12-01
484,Ireland,201512,Lithuania,1967,2015-12-01
485,Italy,201512,Lithuania,3420,2015-12-01
486,Latvia,201512,Lithuania,40351,2015-12-01
487,Netherlands,201512,Lithuania,379283,2015-12-01
488,Poland,201512,Lithuania,10505,2015-12-01
489,Portugal,201512,Lithuania,14959,2015-12-01
490,Spain,201512,Lithuania,916961,2015-12-01
491,Turkey,201512,Lithuania,37807,2015-12-01
507,Estonia,201503,Lithuania,8128,2015-03-01
508,Italy,201503,Lithuania,1543,2015-03-01
509,Latvia,201503,Lithuania,87320,2015-03-01
510,Netherlands,201503,Lithuania,425231,2015-03-01
511,Poland,201503,Lithuania,114873,2015-03-01
512,Portugal,201503,Lithuania,114,2015-03-01
513,Spain,201503,Lithuania,1139464,2015-03-01
514,Ukraine,201503,Lithuania,125516,2015-03-01
516,Estonia,201609,Lithuania,23685,2016-09-01
517,Latvia,201609,Lithuania,13637,2016-09-01
518,Netherlands,201609,Lithuania,21064,2016-09-01
519,Poland,201609,Lithuania,143758,2016-09-01
520,Spain,201609,Lithuania,21109,2016-09-01
532,Bulgaria,201412,Lithuania,18842,2014-12-01
533,Estonia,201412,Lithuania,206749,2014-12-01
534,France,201412,Lithuania,52462,2014-12-01
535,Germany,201412,Lithuania,22196,2014-12-01
536,Greece,201412,Lithuania,49248,2014-12-01
537,Latvia,201412,Lithuania,175679,2014-12-01
538,Netherlands,201412,Lithuania,273588,2014-12-01
539,Poland,201412,Lithuania,109614,2014-12-01
540,Belgium,201412,Lithuania,66360,2014-12-01
541,Czechia,201412,Lithuania,90083,2014-12-01
542,Spain,201412,Lithuania,917995,2014-12-01
1,Belgium,201604,Luxembourg,117181,2016-04-01
2,France,201604,Luxembourg,35717,2016-04-01
3,Germany,201604,Luxembourg,10219,2016-04-01
4,Italy,201604,Luxembourg,41,2016-04-01
5,Morocco,201604,Luxembourg,33,2016-04-01
6,Netherlands,201604,Luxembourg,14409,2016-04-01
7,"Other Europe, nes",201604,Luxembourg,1142,2016-04-01
8,Portugal,201604,Luxembourg,799,2016-04-01
9,Spain,201604,Luxembourg,18907,2016-04-01
10,Egypt,201604,Luxembourg,148,2016-04-01
12,Belgium,201403,Luxembourg,143853,2014-03-01
13,France,201403,Luxembourg,6570,2014-03-01
14,Germany,201403,Luxembourg,12187,2014-03-01
15,Netherlands,201403,Luxembourg,6606,2014-03-01
16,"Other Europe, nes",201403,Luxembourg,350,2014-03-01
17,Portugal,201403,Luxembourg,1729,2014-03-01
18,Spain,201403,Luxembourg,4093,2014-03-01
31,Belgium,201404,Luxembourg,127915,2014-04-01
32,France,201404,Luxembourg,16299,2014-04-01
33,Germany,201404,Luxembourg,17497,2014-04-01
34,Indonesia,201404,Luxembourg,105,2014-04-01
35,Italy,201404,Luxembourg,101,2014-04-01
36,Morocco,201404,Luxembourg,26,2014-04-01
37,Netherlands,201404,Luxembourg,1528,2014-04-01
38,"Other Europe, nes",201404,Luxembourg,297,2014-04-01
39,Portugal,201404,Luxembourg,943,2014-04-01
40,Spain,201404,Luxembourg,29208,2014-04-01
41,Egypt,201404,Luxembourg,222,2014-04-01
54,Belgium,201504,Luxembourg,121342,2015-04-01
55,France,201504,Luxembourg,26460,2015-04-01
56,Germany,201504,Luxembourg,10229,2015-04-01
57,Indonesia,201504,Luxembourg,63,2015-04-01
58,Italy,201504,Luxembourg,206,2015-04-01
59,Morocco,201504,Luxembourg,53,2015-04-01
60,Netherlands,201504,Luxembourg,1105,2015-04-01
61,"Other Europe, nes",201504,Luxembourg,449,2015-04-01
62,Portugal,201504,Luxembourg,570,2015-04-01
63,Spain,201504,Luxembourg,28981,2015-04-01
64,Egypt,201504,Luxembourg,209,2015-04-01
74,Belgium,201408,Luxembourg,116092,2014-08-01
75,France,201408,Luxembourg,9980,2014-08-01
76,Germany,201408,Luxembourg,1822,2014-08-01
77,Italy,201408,Luxembourg,286,2014-08-01
78,Luxembourg,201408,Luxembourg,896,2014-08-01
79,Morocco,201408,Luxembourg,43,2014-08-01
80,Netherlands,201408,Luxembourg,9907,2014-08-01
81,"Other Europe, nes",201408,Luxembourg,272,2014-08-01
82,Portugal,201408,Luxembourg,976,2014-08-01
83,Spain,201408,Luxembourg,28628,2014-08-01
92,Belgium,201406,Luxembourg,144468,2014-06-01
93,France,201406,Luxembourg,17001,2014-06-01
94,Germany,201406,Luxembourg,13868,2014-06-01
95,Indonesia,201406,Luxembourg,35,2014-06-01
96,Italy,201406,Luxembourg,727,2014-06-01
97,Morocco,201406,Luxembourg,61,2014-06-01
98,Netherlands,201406,Luxembourg,3864,2014-06-01
99,"Other Europe, nes",201406,Luxembourg,404,2014-06-01
100,Portugal,201406,Luxembourg,1098,2014-06-01
101,Spain,201406,Luxembourg,27346,2014-06-01
102,Egypt,201406,Luxembourg,173,2014-06-01
111,Belgium,201502,Luxembourg,57357,2015-02-01
112,France,201502,Luxembourg,31618,2015-02-01
113,Germany,201502,Luxembourg,15610,2015-02-01
114,Italy,201502,Luxembourg,188,2015-02-01
115,Morocco,201502,Luxembourg,2477,2015-02-01
116,Netherlands,201502,Luxembourg,7406,2015-02-01
117,"Other Europe, nes",201502,Luxembourg,842,2015-02-01
118,Portugal,201502,Luxembourg,302,2015-02-01
119,Spain,201502,Luxembourg,52788,2015-02-01
120,Egypt,201502,Luxembourg,210,2015-02-01
128,Belgium,201510,Luxembourg,65046,2015-10-01
129,France,201510,Luxembourg,11164,2015-10-01
130,Germany,201510,Luxembourg,7162,2015-10-01
131,Italy,201510,Luxembourg,15,2015-10-01
132,Morocco,201510,Luxembourg,495,2015-10-01
133,"Other Europe, nes",201510,Luxembourg,400,2015-10-01
134,Portugal,201510,Luxembourg,520,2015-10-01
135,Spain,201510,Luxembourg,49768,2015-10-01
136,Egypt,201510,Luxembourg,155,2015-10-01
143,Netherlands,201510,Luxembourg,2202,2015-10-01
145,Belgium,201610,Luxembourg,112043,2016-10-01
146,France,201610,Luxembourg,24709,2016-10-01
147,Germany,201610,Luxembourg,9274,2016-10-01
