"","commoditycode","parent","description"
"6210","38256100","3825","Wastes from chemical or allied industries, mainly containing organic constituents (excl. anti-freeze fluids)"
"6211","38256900","3825","Wastes from chemical or allied industries (excl. wastes of metal pickling liquors, of hydraulic fluids, brake fluids and anti-freeze fluids and those mainly containing organic constituents)"
"6212","382590","3825","Residual products of the chemical or allied industries, n.e.s. (excl. waste)"
"6213","38259010","382590","Alkaline iron oxide for the purification of gas"
"6214","38259090","382590","Residual products of the chemical or allied industries, n.e.s. (excl. waste)"
"6215","382600","38","Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum oils or oils obtained from bituminous minerals"
"6216","38260010","382600","Fatty-acid mono-alkyl esters, containing by weight => 96,5 % of esters ""FAMAE"""
"6217","38260090","382600","Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum oils or oils obtained from bituminous minerals (excl. fatty-acid mono-alkyl esters containing by weight >= 96,5 % of esters ""FAMAE"")"
"6218","VII","","PLASTICS AND ARTICLES THEREOF; RUBBER AND ARTICLES THEREOF"
"6219","39","VII","PLASTICS AND ARTICLES THEREOF"
"6220","3901","39","Polymers of ethylene, in primary forms"
"6221","390110","3901","Polyethylene with a specific gravity of < 0,94, in primary forms"
"6222","39011010","390110","Linear polyethylene with a specific gravity of < 0,94, in primary forms"
"6223","39011090","390110","Polyethylene with a specific gravity of < 0,94, in primary forms (excl. linear polyethylene)"
"6224","390120","3901","Polyethylene with a specific gravity of >= 0,94, in primary forms"
"6225","39012010","390120","Polyethylene in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms, of a specific gravity of >= 0,958 at 23°C, containing <= 50 mg/kg of aluminium, <= 2 mg/kg of calcium, of chromium, of iron, of nickel and of titanium each and <= 8 mg/kg of vanadium, for the manufacture of chlorosulphonated polyethylene"
"6226","39012090","390120","Polyethylene with a specific gravity of >= 0,94, in primary forms (excl. polyethylene in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms, of a specific gravity of >= 0,958 at 23°C, containing <= 50 mg/kg of aluminium, <= 2 mg/kg of calcium, of chromium, of iron, of nickel and of titanium each and <= 8 mg/kg of vanadium, for the manufacture of chlorosulphonated polyethylene)"
"6227","39013000","3901","Ethylene-vinyl acetate copolymers, in primary forms"
"6228","39014000","3901","Ethylene-alpha-olefin copolymers, having a specific gravity of < 0,94 , in primary forms"
"6229","390190","3901","Polymers of ethylene, in primary forms (excl. polyethylene and ethylene-vinyl acetate copolymers)"
"6230","39019010","390190","IONOMER RESIN CST OF A SALT OF A TERPOLYMER OF ETHYLENE WITHISOBUTYL ACRYLATE AND METHACRYLIC ACID"
"6231","39019020","390190","COPOLYMER OF POLYSTYRENE,ETHYLENE-BUTYLENE & POLYSTYRENE CTGWGT 35% OR LESS OF STYRENE NOTE 6(B) TO CHAP 39"
"6232","39019030","390190","Ionomer resin consisting of a salt of a terpolymer of ethylene with isobutyl acrylate and methacrylic acid, in primary forms, and A-B-A block copolymer of ethylene of polystyrene, ethylene-butylene copolymer and polystyrene, containing by weight <= 35% of styrene, in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms"
"6233","39019080","390190","Polymers of ethylene, in primary forms (excl. polyethylene, ethylene-vinyl acetate copolymers, ethylene-alpha-olefins copolymers having a specific gravity of < 0,94, ionomer resin consisting of a salt of a terpolymer of ethylene with isobutyl acrylate and methacrylic acid and A-B-A block copolymer of ethylene of polystyrene, ethylene-butylene copolymer and polystyrene, containing by weight <= 35% of styrene, in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms)"
"6234","39019090","390190","Polymers of ethylene, in primary forms (excl. polyethylene, ethylene-vinyl acetate copolymers, ionomer res..."
"6235","3902","39","Polymers of propylene or of other olefins, in primary forms"
"6236","39021000","3902","Polypropylene, in primary forms"
"6237","39022000","3902","Polyisobutylene, in primary forms"
"6238","39023000","3902","Propylene copolymers, in primary forms"
"6239","390290","3902","Polymers of propylene or of other olefins, in primary forms (excl. polypropylene, polyisobutylene and propylene copolymers)"
"6240","40023100","4002","Isobutylene isoprene rubber ""IIR"", in primary forms or in plates, sheets or strip"
"6241","39029010","390290","A-B-A block copolymer of propylene or of other olefins, of polystyrene, ethylene-butylene copolymer and polystyrene, containing by weight <= 35% of styrene, in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms"
"6242","39029020","390290","Polybut-1-ene, a copolymer of but-1-ene with ethylene containing by weight <= 10% of ethylene, or a blend of polybut-1-ene with polyethylene and/or polypropylene containing by weight <= 10% of polyethylene and/or <= 25% of polypropylene, in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms"
"6243","39029090","390290","Polymers of propylene or of other olefins, in primary forms (excl. polypropylene, polyisobutylene, propylene copolymers, and a A-B-A block copolymer of polystyrene, ethylene-butylene copolymer and polystyrene, containing by weight <= 35% of styrene and polybut-1-ene, a copolymer of but-1-ene with ethylene containing by weight <= 10% of ethylene, or a blend of polybut-1-ene with polyethylene and/or polypropylene containing by weight <= 10% of polyethylene and/or <= 25% of polypropylene, in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms)"
"6244","3903","39","Polymers of styrene, in primary forms"
"6245","39031100","3903","Expansible polystyrene, in primary forms"
"6246","39031900","3903","Polystyrene, in primary forms (excl. expansible)"
"6247","39032000","3903","Styrene-acrylonitrile copolymers ""SAN"", in primary forms"
"6248","39033000","3903","Acrylonitrile-butadiene-styrene copolymers ""ABS"", in primary forms"
"6249","390390","3903","Polymers of styrene, in primary forms (excl. polystyrene, styrene-acrylonitrile copolymers ""SAN"" and acrylonitrile-butadiene-styrene ""ABS"")"
"6250","39039010","390390","Copolymer solely of styrene with allyl alcohol, of an acetyl value of >= 175, in primary form"
"6251","39039020","390390","Brominated polystyrene containing by weight >= 58% but <= 71% of bromine, in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms"
"6252","39039090","390390","Polymers of styrene, in primary forms (excl. polystyrene, styrene-acrylonitrile copolymers ""SAN"", acrylonitrile-butadiene-styrene ""ABS"", copolymer solely of styrene with allyl alcohol, of an acetyl value of >= 175 and brominated polystyrene, containing by weight >= 58% but <= 71% of bromine, in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms)"
"6253","3904","39","Polymers of vinyl chloride or of other halogenated olefins, in primary forms"
"6254","39041000","3904","Poly""vinyl chloride"", in primary forms, not mixed with any other substances"
"6255","39042100","3904","Non-plasticised poly""vinyl chloride"", in primary forms, mixed with other substances"
"6256","39042200","3904","Plasticised poly""vinyl chloride"", in primary forms, mixed with other substances"
"6257","39043000","3904","Vinyl chloride-vinyl acetate copolymers, in primary forms"
"6258","39044000","3904","Vinyl chloride copolymers, in primary forms (excl. vinyl chloride-vinyl acetate copolymers)"
"6259","390450","3904","Vinylidene chloride polymers, in primary forms"
"6260","39045010","390450","Copolymer of vinylidene chloride with acrylonitrile, in the form of expansible beads of a diameter of >= 4 micrometres but <= 20 micrometres"
"6261","39045090","390450","Vinylidene chloride polymers, in primary forms (excl. copolymer of vinylidene chloride with acrylonitrile, in the form of expansible beads of a diameter of >= 4 but <= 20 micrometres)"
"6262","39046100","3904","Polytetrafluoroethylene, in primary forms"
"6263","390469","3904","Fluoropolymers of vinyl chloride or of other halogenated olefins, in primary forms (excl. polytetrafluoroethylene)"
"6264","39046910","390469","Poly""vinyl fluoride"" in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms"
"6265","39046920","390469","Fluoroelastomers FKM, in primary forms"
"6266","39046980","390469","Fluoropolymers of vinyl chloride or of other halogenated olefins, in primary forms (excl. fluoroelastomers FKM, polytetrafluoroethylene, poly(vinyl fluoride) in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms)"
"6267","39046990","390469","FLUORO-POLYMERS O/T POLYTETRAFLUOROETHYLENE"
"6268","39049000","3904","Polymers of vinyl chloride or other halogenated olefins, in primary forms (excl. poly""vinyl chloride"", copolymers of vinyl chloride, polymers of vinyl chloride and fluoropolymers)"
"6269","3905","39","Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers, in primary forms"
"6270","39051200","3905","Poly""vinyl acetate"", in aqueous dispersion"
"6271","39051900","3905","Poly""vinyl acetate"", in primary forms (excl. in aqueous dispersion)"
"6272","39052100","3905","Vinyl acetate copolymers, in aqueous dispersion"
"6273","39052900","3905","Vinyl acetate copolymers, in primary forms (excl. in aqueous dispersion)"
"6274","39053000","3905","Poly""vinyl alcohol"", in primary forms, whether or not containing unhydrolyzed acetate groups"
"6275","39059100","3905","Copolymers of vinyl, in primary forms (excl. vinyl chloride-vinyl acetate copolymers and other vinyl chloride copolymers, and vinyl acetate copolymers)"
"6276","390599","3905","Polymers of vinyl esters and other vinyl polymers, in primary forms (excl. those of vinyl chloride or other halogenated olefins, poly""vinyl acetate"", vinyl acetate copolymers and poly""vinyl alcohol"", whether or not containing unhydrolised acetate groups)"
"6277","39059910","390599","Poly""vinyl formal"" in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms, of a molecular weight of >= 10.000 but <= 40.000 and containing by weight >= 9,5% but <= 13% of acetyl groups evaluated as vinyl acetate and >= 5% but <= 6,5% of hydroxy groups evaluated as vinyl alcohol"
"6278","39059990","390599","Polymers of vinyl esters and other vinyl polymers, in primary forms (excl. those of vinyl chloride or other halogenated olefins, poly""vinyl acetate"", copolymers and poly""vinyl alcohol"", whether or not containing unhydrolised acetate groups, and poly""vinyl formal"" in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms, of a molecular weight of >= 10.000 but <= 40.000 and containing by weight >= 9,5% but <= 13% of acetyl groups evaluated as vinyl acetate and >= 5% but <= 6,5% of hydroxy groups evaluated as vinyl alcohol)"
"6279","3906","39","Acrylic polymers, in primary forms"
"6280","39061000","3906","Poly""methyl methacrylate"", in primary forms"
"6281","390690","3906","Acrylic polymers, in primary forms (excl. poly""methyl methacrylate"")"
"6282","39069010","390690","Poly[N-""3-hydroxyimino-1,1-dimethylbutyl""acrylamide], in primary forms"
"6283","39069020","390690","Copolymer of 2-diisopropylaminoethyl methacrylate with decyl methacrylate in the form of a solution in N,N-dimethylacetamide, containing by weight >= 55% of copolymer"
"6284","39069030","390690","Copolymer of acrylic acid with 2-ethylhexyl acrylate containing by weight >= 10% but <= 11% of 2-ethylhexyl acrylate, in primary forms"
"6285","50010000","50","Silkworm cocoons suitable for reeling"
"6286","39069040","390690","Copolymer of acrylonitrile with methyl acrylate, modified with polybutadiene-acrylonitrile ""NBR"", in primary forms"
"6287","39069050","390690","Polymerization product of acrylic acid with alkyl methacrylate and small quantities of other monomers, for use as a thickener in the manufacture of textile printing pastes"
"6288","39069060","390690","Copolymer of methyl acrylate with ethylene and a monomer containing a non-terminal carboxy group as a substituent, containing by weight >= 50% of methyl acrylate, whether or not compounded with silica, in primary forms"
"6289","39069090","390690","Acrylic polymers in primary forms (excl. poly""methyl methacrylate"", poly[N-""3-hydroxyimino-1,1-dimethylbutyl""acrylamide], copolymer of 2-diisopropylaminoethyl methacrylate with decyl methacrylate in the form of a solution in N,N-dimethylacetamide, containing by weight >= 55% of copolymer, copolymer of acrylic acid with 2-ethylhexyl acrylate containing by weight >= 10% but <= 11% of 2-ethylhexyl acrylate, copolymer of acrylonitrile with methyl acrylate modified with polybutadiene-acrylonitrile ""NBR"", polymerization product of acrylic acid with alkyl methacrylate and small quantities of other monomers for use as a thickener in the manufacture of textile printing pastes and copolymer of methyl acrylate with ethylene and a monomer containing a non-terminal carboxy group as a substituent, containing by weight >= 50% of methyl acrylate, whether or not compounded with silica)"
"6290","3907","39","Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms"
"6291","39071000","3907","Polyacetals, in primary forms"
"6292","390720","3907","Polyethers, in primary forms (excl. polyacetals and goods of 3002 10)"
"6293","39072011","390720","Polyethylene glycols, in primary forms"
"6294","39072020","390720","Polyether alcohols, in primary forms (excl. polyethylene glycols)"
"6295","39072021","390720","POLYETHER ALCOHOLS O/T POLYETHYLENE GLYCOLS: WITH A HYDROXYLNUMBER NOT EXCEEDING 100"
"6296","39072029","390720","POLYETHER ALCOHOLS O/T POLYETHYLENE GLYCOLS: WITH A HYDROXYLNUMBER EXCEEDING 100"
"6297","39072091","390720","Copolymer of 1-chloro-2,3-epoxypropane with ethylene oxide, in primary forms"
"6298","39072099","390720","Polyethers in primary forms (excl. polyether alcohols, polyacetals and copolymer of 1-chloro-2,3-epoxypropane with ethylene oxide)"
"6299","39073000","3907","Epoxide resins, in primary forms"
"6300","39074000","3907","Polycarbonates, in primary forms"
"6301","39075000","3907","Alkyd resins, in primary forms"
"6302","39076020","3907","Poly""ethylene terephthalate"", in primary forms, having a viscosity number of >= 78 ml/g"
"6303","39076080","3907","Poly""ethylene terephthalate"", in primary forms, having a viscosity number of < 78 ml/g"
"6304","39076100","3907","Poly""ethylene terephthalate"", in primary forms, having a viscosity number of >= 78 ml/g"
"6305","39076900","3907","Poly""ethylene terephthalate"", in primary forms, having a viscosity number of < 78 ml/g"
"6306","39077000","3907","Poly""lactic acid"", in primary forms"
"6307","390791","3907","Unsaturated polyallyl esters and other polyesters, in primary forms (excl. polycarbonates, alkyd resins, poly""ethylene terephthalate"" and poly""lactic acid"")"
"6308","39079110","390791","Unsaturated liquid polyesters, in primary forms (excl. polycarbonates, alkyd resins, poly""ethylene terephthalate"" and poly""lactic acid"")"
"6309","39079190","390791","Unsaturated polyesters, in primary forms (excl. liquid, and polycarbonates, alkyd resins, poly""ethylene terephthalate"" and poly""lactic acid"")"
"6310","390799","3907","Saturated polyesters in primary forms (excl. polycarbonates, alkyd resins, poly""ethylene terephthalate"" and poly""lactic acid"")"
"6311","39079905","390799","Thermoplastic liquid crystal aromatic polyester copolymers, saturated, in primary forms"
"6312","39079910","390799","Poly""ethylene naphthalene-2,6-dicarboxylate"", saturated, in primary forms"
"6313","39079911","390799","POLY(ETHYLENE NAPHTHALENE-2,6-DICARBOXYLATE)"
"6314","39079919","390799","OTHER POLYESTERS: O/T UNSATURATED: WITH A HYDROXYL NUMBER NOTEXCEEDING 100"
"6315","39079980","390799","Polyesters, saturated, in primary forms (excl. polycarbonates, alkyd resins, poly""ethylene terephthalate"", poly""lactic acid"", poly""ethylene naphthalene-2,6-dicarboxylate"" and thermoplastic liquid crystal aromatic polyester copolymers)"
"6316","39079990","390799","Polyesters, saturated, in primary forms (excl. polycarbonates, alkyd resins, poly""ethylene terephthalate"",..."
"6317","39079991","390799","POLY(ETHYLENE NAPHTHALENE-2,6-DICARBOXYLATE)"
"6318","39079998","390799","POLYSETERS WITH A HYDROXYL NUMBER OF >100,SATURATED,IN PRIMARY FORMS"
"6319","3908","39","Polyamides, in primary forms"
"6320","39081000","3908","Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms"
"6321","39089000","3908","Polyamides, in primary forms (excl. polyamides-6, -11, -12, -6,6, -6,9, -6,10 and -6,12)"
"6322","3909","39","Amino-resins, phenolic resins and polyurethanes, in primary forms"
"6323","39091000","3909","Urea resins and thiourea resins, in primary forms"
"6324","39092000","3909","Melamine resins, in primary forms"
"6325","39093000","3909","Amino-resins, in primary forms (excl. urea resins, thiourea resins and melamine resins)"
"6326","39093100","3909","Poly""methylene phenyl isocyanate"" ""crude MDI, polymeric MDI"", in primary forms"
"6327","39093900","3909","Amino-resins, in primary forms (excl. urea, thiourea and melamine resins and MDI)"
"6328","39094000","3909","Phenolic resins, in primary forms"
"6329","390950","3909","Polyurethanes, in primary forms"
"6330","39095010","390950","Polyurethane of 2,2'-""tert-butylimino""diethanol and 4,4'-methylenedicyclohexyl diisocyanate, in the form of a solution in N,N-dimethylacetamide, containing by weight >= 50% of polymer"
"6331","39095090","390950","Polyurethanes in primary forms (excl. polyurethane of 2,2'-""tert-butylimino""diethanol and 4,4'-methylenedicyclohexyl diisocyanate, in the form of a solution in N,N-dimethylacetamide)"
"6332","39100000","39","Silicones in primary forms"
"6333","3911","39","Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones and other polymers and prepolymers produced by chemical synthesis, n.e.s., in primary forms"
"6334","39111000","3911","Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes, in primary forms"
"6335","391190","3911","Polysulphides, polysulphones and other polymers and prepolymers produced by chemical synthesis, n.e.s., in primary forms"
"6336","39119011","391190","Poly""oxy-1,4-phenylenesulphonyl-1,4-phenyleneoxy-1,4-phenyleneisopropylidene-1,4-phenylene"" in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms, whether or not chemically modified"
"6337","39119013","391190","Poly""thio-1,4-phenylene"", whether or not chemically modified, in primary forms"
"6338","50020000","50","Raw silk ""non-thrown"""
"6339","39119019","391190","Condensation or rearrangement polymerization products, whether or not chemically modified, n.e.s., in primary forms (excl. poly""oxy-1,4-phenylenesulphonyl-1,4-phenyleneoxy-1,4-phenyleneisopropylidene-1,4-phenylene"" in blocks of irregular shape, lumps, powders, granules, flakes and similar bulk forms and poly""thio-1,4-phenylene)"
"6340","39119091","391190","COPOLYMER OF P-CRESOL & DIVINYLBENZENE IN FORM OF A SOL. INN,N-DIMETHYLACETAMIDE CTG BY WGT 50% POLYMER"
"6341","39119092","391190","Hydrogenated copolymers of vinyltoluene and alfa-methylstyrene, and copolymer of p-cresol and divinylbenzene, in the form of a solution in N,N-dimethylacetamide containing by weight 50 % or more of polymer, produced by chemical synthesis, in primary forms"
"6342","39119093","391190","HYDROGENATED COPOLYMERS OF VINYLTOLUENE & ALPHA-METHYLSTYRENE"
"6343","39119099","391190","Polymer and prepolymer plastics produced by chemical synthesis, n.e.s., in primary forms (excl. copolymer of p-cresol and divinylbenzene in the form of a solution in N,N-dimethylacetamide containing by weight >= 50% of polymer and hydrogenated copolymers of vinyltoluene and alfa-methylstyrene)"
"6344","3912","39","Cellulose and its chemical derivatives, n.e.s., in primary forms"
"6345","39121100","3912","Non-plasticised cellulose acetates, in primary forms"
"6346","39121200","3912","Plasticised cellulose acetates, in primary forms"
"6347","391220","3912","Cellulose nitrates, incl. collodions, in primary forms"
"6348","39122011","391220","Non-plasticised collodions and celloidin, in primary forms"
"6349","39122019","391220","Non-plasticised cellulose nitrates, in primary forms (excl. collodions and colloidin)"
"6350","39122090","391220","Plasticised cellulose nitrates, incl. collodions, in primary forms"
"6351","39123100","3912","Carboxymethylcellulose and its salts, in primary forms"
"6352","391239","3912","Cellulose ethers, in primary forms (excl. carboxymethylcellulose and its salts)"
"6353","39123910","391239","ETHYLCELLULOSE"
"6354","39123920","391239","Hydroxypropylcellulose in primary forms"
"6355","39123980","391239","CELLULOSE ETHERS O/T ETHYLCELLULOSE OR HYDROXYPROPYLCELLULOSE"
"6356","39123985","391239","Cellulose ethers in primary forms (excl. carboxymethylcellulose and its salts and hydroxypropylcellulose)"
"6357","391290","3912","Cellulose and chemical derivatives thereof, n.e.s., in primary forms (excl. cellulose acetates, cellulose nitrates and cellulose ethers)"
"6358","39129010","391290","Cellulose esters, in primary forms"
"6359","39129090","391290","Cellulose and chemical derivatives thereof, n.e.s., in primary forms (excl. cellulose acetates, cellulose nitrates, cellulose ethers and cellulose esters)"
"6360","3913","39","Natural polymers, e.g. alginic acid, and modified natural polymers, e.g. hardened proteins, chemical derivatives of natural rubber, n.e.s., in primary forms"
"6361","39131000","3913","Alginic acid, its salts and esters, in primary forms"
"6362","39139000","3913","Natural polymers and modified natural polymers, e.g. hardened proteins, chemical derivatives of natural rubber, n.e.s., in primary forms (excl. alginic acid and its salts and esters)"
"6363","39140000","39","Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms"
"6364","3915","39","Waste, parings and scrap, of plastics"
"6365","39151000","3915","Waste, parings and scrap, of polymers of ethylene"
"6366","39152000","3915","Waste, parings and scrap, of polymers of styrene"
"6367","39153000","3915","Waste, parings and scrap, of polymers of vinyl chloride"
"6368","391590","3915","Waste, parings and scrap of plastics (excl. that of polymers of ethylene, styrene and vinyl chloride)"
"6369","39159011","391590","Waste, parings and scrap, of polymers of propylene"
"6370","39159018","391590","WASTE, PAIRINGS & SCRAP, OF PLASTICS O/T POLYMERS OF ETHYLENESTYRENE,VINYL CHLORIDE,PROPYLENE OR ACRYLIC"
"6371","39159080","391590","Waste, parings and scrap, of plastics (excl. that of polymers of ethylene, styrene, vinyl chloride and propylene)"
"6372","39159090","391590","WASTE,PAIRINGS & SCRAP OF PLASTICS NES"
"6373","3916","39","Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, of plastics, whether or not surface-worked but not further worked"
"6374","39161000","3916","Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, of polymers of ethylene, whether or not surface-worked but not further worked"
"6375","39162000","3916","Monofilament with any cross-sectional dimension of > 1 mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked, of polymers of vinyl chloride"
"6376","39162010","3916","HEADING 3916 OF POLYMERS OF VINYL CHLORIDE : OF PVC"
"6377","39162090","3916","HEADING 3916 OF POLYMERS OF VINYL CHLORIDE : O/T PVC"
"6378","391690","3916","Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, of plastics, whether or not surface worked but not further worked (excl. that of polymers of ethylene and vinyl chloride)"
"6379","39169010","391690","Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, of condensation or rearrangement polymerization products, whether or not surface-worked but not further worked, whether or not chemically modified"
"6380","39169011","391690","HEADING 3916 CONSISTING OF POLYESTERS"
"6381","39169013","391690","HEADING 3916 CONSISTING OF POLYAMIDES"
"6382","39169015","391690","HEADING 3916 CONSISTING OF EPOXIDE RESINS"
"6383","39169019","391690","HEADING 3916 OF PLASTICS OTHER THAN POLYESTERS OR POLYAMIDES"
"6384","39169050","391690","Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, of addition polymerisation products, whether or not surface-worked but not further worked (excl. that of polymers of ethylene and vinyl chloride)"
"6385","39169051","391690","HEADING 3916 CONSISTING OF POLYMERS OF PROPYLENE"
"6386","39169059","391690","HEADING 3916 OF ADDITION POLYMERISATION PRODUCTS OTHER THANPOLYMERS OF PROPYLENE"
"6387","39169090","391690","Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, of plastics, whether or not surface-worked but not further worked (excl. that of addition polymerization products, condensation or rearrangement polymerization products, whether or not chemically modified)"
"6388","3917","39","Tubes, pipes and hoses, and fittings therefor, e.g. joints, elbows, flanges, of plastics"
"6389","391710","3917","Artificial guts ""sausage casings"" of hardened protein or cellulose materials"
"6390","39171010","391710","Artificial guts ""sausage casings"" of hardened protein"
"6391","39171090","391710","Artificial guts ""sausage casings"" of cellulose materials"
"6392","391721","3917","Rigid tubes, pipes and hoses, of polymers of ethylene"
"6393","40101100","4010","Conveyor belts or belting, of vulcanised rubber, reinforced only with metal"
"6394","39172110","391721","Rigid tubes, pipes and hoses, of polymers of ethylene, seamless and of a length > the maximum cross-sectional dimension, whether or not surface-worked, but not otherwise worked"
"6395","39172190","391721","Rigid tubes, pipes and hoses, of polymers of ethylene (excl. seamless and cut to length only)"
"6396","391722","3917","Rigid tubes, pipes and hoses of polymers of propylene"
"6397","39172210","391722","Rigid tubes, pipes and hoses, of polymers of propylene, seamless and of a length > the maximum cross-sectional dimension, whether or not surface-worked, but not otherwise worked"
"6398","39172290","391722","Rigid tubes, pipes and hoses, of polymers of propylene (excl. seamless and cut to length only)"
"6399","391723","3917","Rigid tubes, pipes and hoses, of polymers of vinyl chloride"
"6400","39172310","391723","Rigid tubes, pipes and hoses, of polymers of vinyl chloride, seamless and of a length > the maximum cross-sectional dimension, whether or not surface-worked, but not otherwise worked"
"6401","39172390","391723","Rigid tubes, pipes and hoses, of polymers of vinyl chloride (excl. seamless and cut to length only)"
"6402","39172900","3917","Rigid tubes, pipes and hoses, of plastics (excl. those of polymers of ethylene, propylene and vinyl chloride)"
"6403","39172912","3917","TUBES, PIPES, HOSES RIGID, SEAMLESS, CUT TO LGTH > MAX DIA,SURFACE WKD OR NOT, NOT O/W."
"6404","39172915","3917","TUBES,PIPES,HOSES-RIGID,ADDITION POLYMSN PDT-SEAMLES,CUT TOLGTH > MAX DIA,SURFACE WKD OR NOT-NOT O/W WKD"
"6405","39172919","3917","TUBES,PIPES,HOSES-RIGID O/T POLYMERISATION PDT-SEAMLESS,CUTTO LGTH > MAX DIA SURFACE WKD OR NOT-NOT O/W WK"
"6406","39172990","3917","TUBES,PIPE,HOSES-RIGID PLASTICS NES O/T SEAMLESS, CUT TO LGTHETC."
"6407","39173100","3917","Flexible tubes, pipes and hoses, of plastics, burst pressure >= 27,6 MPa"
"6408","39173200","3917","Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other materials, without fittings"
"6409","39173210","3917","FLEX TUBES, PIPES, ETC OF PLASTICS NES, SEAMLESS, CUT TO LGTH> MAX DIA SURFACE, W/N SURFACE WORKED, NOT O/W."
"6410","39173231","3917","FLEX TUBES,PIPES,HOSES-POLYMERS OF ETHYLENE,SEAMLESS,CUT TOLGTH > MAX DIA,SURFACE WKD OR NOT-NOT O/W WKD"
"6411","39173235","3917","FLEX TUBES,PIPES,HOSES-POLYMERS OF VNYL CHLOR,SEAMLESS,CUT TOLGTH > MAX DIA,SURFACE WKD OR NOT-NOT O/W WKD"
"6412","39173239","3917","FLEX TUBES,ETC OF ADDN POLYMSN PDT O/T POLYS ES SEAMLESS CUTTO LGTH > MAX DIA,SURFACE WKD OR NOT-NOT O/W WK"
"6413","39173251","3917","FLEX TUBES ETC O/T OF ADDN POLYMSN PDT,SEAMLESS,CUT TO LGTH >MAX DIA,SURFACE WKD OR NOT-NOT O/W WKD"
"6414","39173291","3917","ARTIFICIAL SAUSAGE CASINGS O/T SEAMLESS AND CUT TO LENGTH >MAX DIA,SURFACE WKD OR NOT-NOT O/W WKD"
"6415","39173299","3917","FLEX TUBES ETC O/T ART SAUSAGE CASINGS O/T SEAMLESS,CUT TOLGTH > MAX DIA,SURFACE WKD OR NOT-NOT O/W WKD"
"6416","39173300","3917","Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other materials, with fittings, seals or connectors"
"6417","39173900","3917","Flexible tubes, pipes and hoses, of plastics, reinforced or otherwise combined with other materials (excl. those with a burst pressure of >= 27,6 MPa)"
"6418","39173912","3917","FLEX TUBES NOT REINF OR O/W, COMB/SEAMLESS, CUT TO LGTH, OFPLASTICS NES."
"6419","39173915","3917","FLEX TUBES ETC NOT REINF OR O/W COMB/SEAMLESS,CUT TO LGTH ETCOF ADDITION POLYMERISATION PRODUCTS"
"6420","39173919","3917","FLEX TUBES ETC NOT REINF OR O/W COMB SEAMLESS,CUT TO LGTH ETCO/T OF ADDITION POLYMERISATION PRODUCTS"
"6421","39173990","3917","FLEXIBLE TUBES ETC NES O/T WITH FITTINGS ATTACHED NES"
"6422","39174000","3917","Fittings, e.g. joints, elbows, flanges, of plastics, for tubes, pipes and hoses"
"6423","3918","39","Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles; wall or ceiling coverings of plastics, in rolls with a width of >= 45 cm, consisting of a layer of plastics fixed permanently on a backing of any material other than paper, the face side of which is grained, embossed, coloured, design-printed or otherwise decorated"
"6424","391810","3918","Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall or ceiling coverings ""in rolls with a width of >= 45 cm, consisting of a layer of plastics fixed permanently on a backing of any material other than paper, the face side of which is grained, embossed, coloured, design-printed or otherwise decorated"", of polymers of vinyl chloride"
